"№ пп	Страна	Дата	Специфика сайта	Адрес (Название сайта)	Рейтинг посещаемости			Переписка с сайтом (приглашение в ПП)							Примечания						";;;;;;;;
"					Всего, чел.	В т.ч. первая пятёрка стран	%	Контакты	Контактное лицо                  партнера	Отправлено, Дата	Кто отправил  Ф.И.О.	Получен ответ, Дата	Взаимодействия	Условия сотрудничества 		Коммерческое предложение					";;;;;;;;
"1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	Размер баннера 	             $                                                  US $                                         евро			СРОК	Дополнительные условия";;;;;;;;
"								contacto@ticketsport.cl								17	18	19	20	21	22";;;;;sssssssssssss;;;www.marketingone.ru/files
"25	Чили 	13.03.2017	организация спортивных событий	https://www.ticketsport.cl/	6.8к				56969651949	13.03.2017 отправил приветственное письмо	Пронин Т.С.	da 	03.янв	Отправил ему ссылку на сайт и дополнительную информацию. 27.03 отправил письмо-напоминание. 03.02 отправил ему письмо-напоминание.							";;;;;;;;
"27	Чили 	13.03.2017	маркетинговое агенство. Организация спортивных проектов, со всеми деталями	http://www.varsoviasports.cl/	4.9к				569 4 2323654	13.03.2017 отправил приветственное письмо	Пронин Т.С.	da 	02.фев	Ответ получен спустя 10 дней после отправки первого письма. Никогда раньше не размещали рекламу у себя. 27.03 отправил ему описание программы на испанском. Жду ответа. 03.04 отправил ему письмо-напоминание.							";;;;;;;;
"28	Чили 	13.03.2017	женский футбол	http://comunidadsport.cl/	910				56992991268	13.03.2017 отправил письмо во внутреннем формуляре	Пронин Т.С.	da 	10.окт	Готовы сотрудничать (понравилась программа). Попросил зарегистрироваться и отправить мне его Логин. Он зарегистрировался в системе.							";;;;;;;;
"59	Чили	14.03.2017	информация по всем машинам (цвет, характеристика двигателя)	http://www.autocosmos.cl/institucional/anunciar	377.4				Paula Nerea Sanchez	14.03.2017	Пронин Т.С.	da	02.фев	администрация не заинтересована в работе с букмекерскими сайтами							";;;;;;;;
"64	Чили	14.03.2017	покер	http://www.pokerchile.cl/quienes-somos	13.2к				Adam Adair	14.03.2017	Пронин Т.С.	da	2/1 (перешли с почты на почту)	Отправил ему ссылку на сайт и дополнительную информацию. 27.03 отправил письмо-напоминание. 03.04 отправил ему письмо-напоминание.	Его почта: adam@goneglobal.com						";;;;;;;;
"81	Чили	14.03.2017	новостной портал (культура, политика, спорт)	http://www.eldesconcierto.cl/contacto/	674.2					14.03.2017	Пронин Т.С.	da	02.янв	Отправил ей ссылку на сайт и дополнительную информацию. 27.03 отправил письмо-напоминание.							";;;;;;;;
"107	Чили	15.03.2017	лошади и экипировка для наездников	http://www.solohipica.cl/	5.1к			solohipica@gmail.com	Norman	15.03.2017	Пронин Т.С.	da	10.сен	""должна была состояться регистрация (попросил меня отправить ему баннер для пробы)"; потенциальный клиент не сразу понял, где представлены баннеры; сегодня (27.03) отправил ему письмо с вопросами, в догонкуж;" 03.04 отправил ему письмо-напоминание""							";;;;;
